"Gene.Symbols","Gene.Name","Gene","AR","AD","XL","IS"
"PLCH1, PLCL3, KIAA1069","Phospholipase C, eta-1","PLCH1",,,,
"SLC33A1, ACATN, AT1, SPG42, CCHLND","Solute carrier family 33 (acetyl-CoA transporter), member 1","SLC33A1","Y","Y","N","N"
"GMPS","Guanine monophosphate synthetase","GMPS",,,,
"KCNAB1, KCNA1B","Potassium voltage-gated channel, shaker-related subfamily, beta member 1","KCNAB1",,,,
"SSR3, TRAPG","Signal sequence receptor, gamma","SSR3",,,,
"TIPARP","TCDD-inducible poly(ADP-ribose) polymerase","TIPARP",,,,
"LEKR1","Leucine-, glutamate-, and lysine-rich protein 1","LEKR1",,,,
"CCNL1, ANIA6A","Cyclin L1","CCNL1",,,,
"VEPH1, MELT, KIAA1692","Ventricular zone-expressed PH domain-containing protein, zebrafish, homolog of, 1","VEPH1",,,,
"PTX3","Pentraxin-3","PTX3",,,,
"SHOX2, SHOT, OG12","Short stature homeo box 2","SHOX2",,,,
"RSRC1, SRRP53","Arginine/serine-rich coiled-coil protein 1","RSRC1",,,,
"MLF1","Myeloid leukemia factor-1","MLF1","N","Y","N","N"
"GFM1, EFG1, GFM, COXPD1","Mitochondrial elongation factor G1","GFM1","Y","N","N","N"
"LXN, ECI, TCI","Latexin","LXN",,,,
"RARRES1, TIG1","Retinoic acid receptor responder 1","RARRES1",,,,
"IQCJ","IQ motif-containing protein J","IQCJ",,,,
"IL12A","Interleukin-12A (natural killer cell stimulatory factor-1, cytotoxic lymphocyte maturation factor-1, p35)","IL12A",,,,
"IFT80, KIAA1374, WDR56, SRTD2, ATD2","Intraflagellar transport 80, Chlamydomonas, homolog of","IFT80","Y","N","N","N"
"CAPC","Chromosome-associated protein C","SMC4",,,,
"TRIM59, RNF104, MRF1, IFT80L","Tripartite motif-containing protein 59","TRIM59",,,,
"KPNA4, QIP1","Karyopherin alpha-4","KPNA4",,,,
"SCARNA7","Small Cajal body-specific RNA 7","SCARNA7",,,,
"ARL14, ARF7","ADP-ribosylation factor-like 14","ARL14",,,,
"PPM1L, PP2CE","Protein phosphatase 1-like","PPM1L",,,,
"AFA1, MPB","Alopecia, androgenetic, 1","","N","Y","N","N"
"MDS1","Myelodysplasia syndrome-1","","N","N","N","N"
"MNG3","Multinodular goiter-3","","N","N","N","N"
"MYP8","Myopia 8","MYP8","N","N","N","N"
"B3GALT3, GLCT3, GLOB","UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase 3","B3GALNT1","N","N","N","N"
"NMD3","NMD3, S. cerevisiae, homolog of","NMD3",,,,
"SPTSSB, C3orf57, SSSPTB, ADMP","Serine palmitoyltransferase, small subunit B","SPTSSB",,,,
"SI","Sucrase-isomaltase","SI","Y","N","N","N"
"SLITRK3, KIAA0848","SLIT- and NTRK-like family, member 3","SLITRK3",,,,
"BCHE, CHE1","Butyrylcholinesterase","BCHE","N","N","N","N"
"SERPIN12, PI14, MEPI","Protease inhibitor 14","SERPINI2",,,,
"PDCD10, TFAR15, CCM3","Programmed cell death 10","PDCD10","N","N","N","N"
"SERPINI1, PI12","Protease inhibitor 12","SERPINI1","N","Y","N","N"
"APMR2","Alopecia-mental retardation syndrome 2","","Y","N","N","N"
"FEB10","Febrile seizures, familial, 10","","N","N","N","N"
"GOLIM4, GOLPH4, GPP130","Golgi integral membrane protein 4","GOLIM4",,,,
"MECOM, EVI1, RUSAT2","MDS1 and EVS1 complex locus","MECOM","N","Y","N","N"
"TERC, TRC3, TR, DKCA1, PFBMFT2","Telomerase RNA component","TERC","N","Y","N","N"
"ARPM1","Actin-related protein M1","ACTRT3",,,,
"TRV-AAC1-1, TRNAV24","Transfer RNA valine (AAC) 1-1","TRV-AAC1-1",,,,
"MYNN","Myoneurin","MYNN",,,,
"SEC62, TLOC1, HTP1","Sec62, S. cerevisiae, homolog of","SEC62",,,,
"PRKCI","Protein kinase C, iota","PRKCI",,,,
"SKIL, SNO","SKI-like","SKIL",,,,
"CLDN11, OTM, OSP","Claudin 11 (oligodendrocyte transmembrane protein)","CLDN11",,,,
"SLC7A14, KIAA1613, RP68","Solute carrier family 7, member 14","SLC7A14","Y","N","N","N"
"EIF5A2","Eukaryotic translation initiation factor 5A2","EIF5A2",,,,
"SLC2A2, GLUT2","Solute carrier family 2 (facilitated glucose transporter), member 2","SLC2A2","Y","Y","N","N"
"TNIK, KIAA0551, MRT54","TRAF2-and NCK-interacting kinase","TNIK","Y","N","N","N"
"APMR1","Alopecia-mental retardation syndrome 1","","Y","N","N","N"
"PLD1","Phospholipase D1, phosphatidylcholine-specific","PLD1",,,,
"FNDC3B, FAD104","Fibronectin domain III-containing protein 3B","FNDC3B",,,,
"GHSR, GHDP","Growth hormone secretagogue receptor","GHSR","Y","Y","N","N"
"TNFSF10, TRAIL, APO2L","Tumor necrosis factor ligand superfamily, member 10","TNFSF10",,,,
"NCEH1, NCEH, KIAA1363","Neutral cholesterol ester hydrolase 1","NCEH1",,,,
"ECT2","Epithelial cell transforming sequence 2 oncogene","ECT2",,,,
"SPATA16, SPGF6","Spermatogenesis-associated protein 16","SPATA16","Y","N","N","N"
"NLGN1","Neuroligin 1","NLGN1",,,,
"NAALADL2","N-acetylated alpha-linked acidic dipeptidase-like 2","NAALADL2",,,,
"FAME4, FCMTE4","Epilepsy, familial adult myoclonic, 4","","N","Y","N","N"
"TBL1XR1, TBLR1, IRA1, C21, MRD41","Transducin-beta-like 1 receptor 1","TBL1XR1","N","Y","N","N"
"KCNMB2","Potassium channel, calcium-activated, large conductance, subfamily M, beta member 2","KCNMB2",,,,
"WIG1","Wildtype p53-induced gene","ZMAT3",,,,
"PIK3CA, CLOVE, MCAP, MCM, MCMTC, CWS5","Phosphatidylinositol 3-kinase, catalytic, alpha polypeptide","PIK3CA","N","N","N","N"
"KCNMB3","Potassium large conductance calcium-activated channel, subfamily M, beta member 3","KCNMB3",,,,
"GNB4, CMTD1F","Guanine nucleotide-binding protein, beta-4","GNB4","N","Y","N","N"
"ACTL6A, BAF53, BAF53A","Actin-like 6A","ACTL6A",,,,
"MRPL47","Mitochondrial ribosomal protein L47","MRPL47",,,,
"USP13, ISOT3","Ubiquitin-specific protease-13","USP13",,,,
"PEX5L, PEX5R, PXR2B","Peroxisome biogenesis factor 5-like","PEX5L",,,,
"CCDC39","Coiled-coil domain-containing protein 39","CCDC39","N","N","N","N"
"FXR1","Fragile X mental retardation, autosomal homolog","FXR1",,,,
"DNAJC19, TIM14","DnaJ (Hsp40) homolog, subfamily C, member 19 (translocase of inner mitochondrial membrane 14, yeast, homolog of)","DNAJC19","Y","N","N","N"
"SOX2OT, NCRNA00043","SOX2 overlapping transcript, noncoding","SOX2-OT",,,,
"SOX2, MCOPS3","SRY (sex determining region Y)-box 2","SOX2","N","Y","N","N"
"ATP11B, ATPIR","ATPase, class VI, type 11B","ATP11B",,,,
"DCUN1D1, RP42","DCN1 domain-containing protein 1","DCUN1D1",,,,
"AOMS1, SYNX","Abdominal obesity-metabolic syndrome QTL1","","N","N","N","N"
"SPG14","Spastic paraplegia 14, autosomal recessive","SPG14","Y","N","N","N"
"MCCC1, MCCA","3-Methylcrotonyl-CoA carboxylase 1","MCCC1","Y","N","N","N"
"DCLAMP","Lysosome-associated membrane glycoprotein, dendritic cell-specific","LAMP3",,,,
"B3GNT5","Beta-1,3-N-acetylglucosaminyltransferase 5","B3GNT5",,,,
"KLHL6, FLJ00029","Kelch-like 6","KLHL6",,,,
"KLHL24, KRIP6","Kelch-like 24","KLHL24",,,,
"YEATS2, KIAA1197","YEATS domain-containing protein 2","YEATS2",,,,
"MAPO6D1, SL21","MAP6 domain-containing protein 1","MAP6D1",,,,
"PARL","Presenilin-associated rhomboid-like protein","PARL",,,,
"ABCC5, MRP5, MOATC","ATP-binding cassette, subfamily C, member 5","ABCC5",,,,
"HTR3D","5-hydroxytryptamine receptor 3, subunit D","HTR3D",,,,
"HTR3C","5-hydroxytryptamine receptor 3C","HTR3C",,,,
"HTR3E","5-hydroxytryptamine receptor 3, subunit E","HTR3E",,,,
"EIF2B5, LVWM, CACH, CLE","Eukaryotic translation initiation factor 2B, subunit 5","EIF2B5","Y","N","N","N"
"DVL3, DRS3","Dishevelled 3 (homologous to Drosophila dsh)","DVL3","N","Y","N","N"
"AP2M1, CLAPM1","Adaptor-related protein complex 2, mu 1 subunit","AP2M1",,,,
"MIR1224, MIRN1224","Micro RNA 1224","MIR1224",,,,
"ALG3, NOT56L, CDGS4, CDG1D","Alg3, S. cerevisiae, homolog of","ALG3","Y","N","N","N"
"ECE2, KIAA0604","Endothelin-converting enzyme 2","ECE2",,,,
"CAMK2N2, CAMKIIN","Calcium/calmodulin-dependent protein kinase II inhibitor 2","CAMK2N2",,,,
"PSMD2, S2, TRAP2","Proteasome 26S subunit, non-APTase, 2","PSMD2",,,,
"EIF4G1, EIF4G, PARK18","Eukaryotic translation initiation factor 4 gamma, 1","EIF4G1","N","Y","N","N"
"CLCN2, EGMA, ECA2, EGI11, EJM8, LKPAT","Chloride channel-2","CLCN2","Y","Y","N","N"
"POLR2H, RPB8","Polymerase II, RNA, subunit H","POLR2H",,,,
"THPO, MGDF, MPLLG, TPO, THCYT1","Thrombopoietin (megakaryocyte growth and development factor)","THPO","N","Y","N","N"
"CHRD","Chordin","CHRD",,,,
"EPHB3, ETK2","EPH-like tyrosine kinase-2","EPHB3",,,,
"MAGEF1","Melanoma antigen, family F, 1","MAGEF1",,,,
"EHHADH, PBFE, LBFP, FRTS3","Enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase","EHHADH","N","Y","N","N"
"MAP3K13, LZK","Mitogen-activated protein kinase kinase kinase 13 (leucine zipper-bearing kinase)","MAP3K13",,,,
"LIPH, LAH2, ARWH2, HYPT7","Lipase H","LIPH","Y","N","N","N"
"SENP2, SMT3IP2, AXAM2, KIAA1331","Sentrin-specific protease family, member 2","SENP2",,,,
"IGF2BP2, IMP2","Insulin-like growth factor 2 mRNA-binding protein 2","IGF2BP2","N","Y","N","N"
"TRA2B, SFRS10","Splicing factor, arginine/serine-rich, 10 (transformer 2, drosophila, homolog of, beta)","TRA2B",,,,
"ETV5, ERM","ets variant gene 5 (ets-related molecule)","ETV5",,,,
"DGKG, DAGK3","Diacylglycerol kinase, gamma, 90-kD","DGKG",,,,
"CRYGS, CRYG8, CTRCT20","Crystallin, gamma S","CRYGS","N","Y","N","N"
"DNAJB11, HEDJ, DJ9, ABBP2","DNAJ/HSP40 homolog, subfamily B, member 11","DNAJB11",,,,
"AHSG","Alpha-2HS-glycoprotein","AHSG",,,,
"FETUB","Fetuin B","FETUB",,,,
"HRG, THPH11","Histidine-rich glycoprotein","HRG","N","Y","N","N"
"KNG1, KNG","Kininogen 1","KNG1","Y","N","N","N"
"EIF4A2","Eukaryotic translation initiation factor-4A, isoform 2","EIF4A2",,,,
"SNORA81","Small nucleolar RNA, H/ACA box, 81","SNORA81",,,,
"SNORA63, RNU107, RNE3","Small nucleolar RNA, H/ACA box, 63","SNORA63",,,,
"RFC4","Replication factor C4, 37kD (activator 1, 37kD)","RFC4",,,,
"ADIPOQ, APM1, GBP28, ADIPQTL1","Adipocyte-, C1q-, and collagen domain-containing","ADIPOQ","N","N","N","N"
"SIAT1","Sialyltransferase-1 (beta-galactoside alpha-2,6-sialyltransferase)","ST6GAL1",,,,
"RPL39L","Ribosomal protein L39-like","RPL39L",,,,
"RTP1","Receptor-transporting protein 1","RTP1",,,,
"MASP1, CRARF, 3MC1","Mannan-binding lectin serine protease-1 (C4/C2 activating component of Ra-reactive factor)","MASP1","Y","N","N","N"
"RTP4","Receptor-transporting protein 4","RTP4",,,,
"SST","Somatostatin","SST",,,,
"RTP2","REceptor-transporting protein 2","RTP2",,,,
"BCL6","B-cell CLL/lymphoma-6","BCL6","N","N","N","N"
"LPP","Lipoma-preferred-partner gene","LPP","N","Y","N","N"
"CELIAC11","Celiac disease, susceptibility to, 11","","N","N","N","N"
"LNCR5","Lung cancer susceptibility 5","","N","N","N","N"
"MIR28, MIRN28","Micro RNA 28","MIR28",,,,
"TP63, TP73L, KET, EEC3, SHFM4, LMS, RHS, OFC8","Tumor protein p63 (tumor protein p73-like)","TP63","N","Y","N","N"
"P3H2, LEPREL1, MCVD","Prolyl 3-hydroxylase 2","P3H2","Y","N","N","N"
"CLDN1, SEMP1, ILVASC","Claudin 1","CLDN1","Y","N","N","N"
"CLDN16, PCLN1, HOMG3","Claudin 16 (paracellin 1)","CLDN16","Y","N","N","N"
"TMEM207","Transmembrane protein 207","TMEM207",,,,
"IL1RAP","Interleukin 1 receptor accessory protein","IL1RAP",,,,
"GMNC, GEMC1","Geminin coiled-coil domain-containing protein","GMNC",,,,
"OSTN","Osteocrin","OSTN",,,,
"CCDC50, C3orf6, DFNA44","Coiled-coil domain-containing protein 50","CCDC50","N","Y","N","N"
"PYDC2, POP2","Pyrin domain-containing protein 2","PYDC2",,,,
"FGF12, FHF1","Fibroblast growth factor-12","FGF12",,,,
"DEL3q29, MICRODEL3q29","Chromosome 3q29 microdeletion syndrome","","N","N","N","Y"
"DUP3q29, MICRODUP3q29","Chromosome 3q29 microduplication syndrome","","N","Y","N","N"
"HRASLS","HRAS-like suppressor","HRASLS",,,,
"ATP13A4","ATPase, type 13A4","ATP13A4",,,,
"OPA1, NTG, NPG, BERHS, MTDPS14","Optic atrophy 1 gene","OPA1","Y","Y","N","N"
"HES1, HRY","Hairy and enhancer of split, Drosophila, homolog of","HES1",,,,
"CPN2","Carboxypeptidase N, polypeptide 2, 83-KD","CPN2",,,,
"GP5","Glycoprotein V, platelet","GP5",,,,
"ATP13A3, AFURS1","ATPase, type 13A3","ATP13A3",,,,
"LSG1","Large subunit GTPase 1, S. cerevisiae, homolog of","LSG1",,,,
"XXYLT1, C3orf21","Xyloside xylosyltransferase 1","XXYLT1",,,,
"CENTB2, KIAA0041, ACAP2","Centaurin, beta-2","ACAP2",,,,
"PPP1R2, IPP2","Protein phosphatase-1, regulatory (inhibitor) subunit 2","PPP1R2",,,,
"APOD","Apolipoprotein D","APOD",,,,
"MIR570","Micro RNA 570","MIR570",,,,
"MUC20","Mucin 20, cell surface-associated","MUC20",,,,
"MUC4","Mucin 4, tracheobronchial","MUC4",,,,
"TNK2, ACK, ACK1","Tyrosine kinase, non-receptor, 2","TNK2",,,,
"TFRC, TFR, CD71, IMD46","Transferrin receptor","TFRC","Y","N","N","N"
"OSTA","Organic solute transporter, alpha","SLC51A",,,,
"PCYT1A, CTPCT, PCYT1, SMDCRD","Phosphate cytidylyltransferase 1, choline, alpha isoform","PCYT1A","Y","N","N","N"
"UBXN7, KIAA0794","UBX domain protein 7","UBXN7",,,,
"RNF168","RING finger protein 168","RNF168","Y","N","N","N"
"WDR53","WD repeat-containing protein 53","WDR53",,,,
"FBXO45, FBX45","F-box only protein 45","FBXO45",,,,
"NRROS, LRRC33","Negative regulator of oxygen species","NRROS",,,,
"CEP19, C3orf34, MOSPGF","Centrosomal protein, 19kD","CEP19","Y","N","N","N"
"PIGX","Phosphatidylinositol glycan, class X","PIGX",,,,
"PAK2, PAK65","p21-activated kinase 2","PAK2",,,,
"SENP5","Sentrin-specific protease family, member 5","SENP5",,,,
"NCBP2, CBP20, NIP1","Nuclear CAP-binding protein 2","NCBP2",,,,
"PIGZ, SMP3","Phosphatidylinositol glycan, class Z","PIGZ",,,,
"MFI2, MAP97","Melanoma-associated antigen p97","MELTF",,,,
"DLG1","Discs, large, Drosophila, homolog of, 1","DLG1",,,,
"BDH1, BDH","3-hydroxybutyrate dehydrogenase 1","BDH1",,,,
"RUBCN, RUBICON, KIAA0226, SCAR15","RUN domain and cysteine-rich domain containing, Beclin 1-interacting protein","RUBCN","Y","N","N","N"
"FYTTD1, UIF","Forty-two-three domain-containingi protein 1","FYTTD1",,,,
"IQCG","IQ motif-containing protein G","IQCG",,,,
"RPL35A, DBA5","Ribosomal protein L35A","RPL35A","N","N","N","N"
"LMLN","Leishmanolysin-like","LMLN",,,,
"CRSA, CRS3","Craniosynostosis, Adelaide type","","N","Y","N","N"
"INTLQ1","Intelligence quantitative trait locus 1","","N","N","N","N"
"MDCMP","Muscular dystrophy, congenital, merosin-positive","","Y","N","N","N"
"MHW1","Mental health wellness 1","","N","N","N","N"
"MNDEC","Microtia with nasolacrimal duct imperforation and eye coloboma","","N","N","N","N"
"PLSA1, PLSA","Primary lateral sclerosis, adult, 1","","N","Y","N","N"
"SLEB3","Systemic lupus erythematosus, susceptibility to, 3","SLEB3","N","N","N","N"
"SPG38","Spastic paraplegia 38, autosomal dominant","SPG38","N","Y","N","N"
"WHS","Wolf-Hirschhorn syndrome","","N","N","N","Y"
"ZNF141, D4S90, PAPA6","Zinc finger protein-141 (clone pHZ-44)","ZNF141","Y","N","N","N"
"PIGG, GPI7, MRT53","Phosphatidylinositol glycan anchor biosynthesis class G protein","PIGG","Y","N","N","N"
"PDE6B, PDEB, RP40, CSNBAD2","Phosphodiesterase-6B, cGMP-specific, rod, beta","PDE6B","Y","Y","N","N"
"ATP5I, ATP5K","ATP synthase, H+ transporting, mitochondrial FO complex, subunit E","ATP5I",,,,
"MYL5","Myosin, light polypeptide-5, regulatory","MYL5",,,,
"CPLX1, CPX1","Complexin 1","CPLX1",,,,
"GAK","Cyclin G associated kinase","GAK",,,,
"TMEM175","Transmembrane protein 175","TMEM175",,,,
"DGKQ, DAGK4","Diacylglycerol kinase, theta, 110kD","DGKQ",,,,
"SLC25A1, SAT1, CAON","Solute carrier family 26 (sulfate transporter), member 1","SLC26A1","N","Y","N","N"
"IDUA, IDA","Iduronidase, alpha-L-","IDUA","Y","N","N","N"
"FGFRL1","Fibroblast growth factor receptor-like 1","FGFRL1",,,,
"RNF212, ZHP3","Ring finger protein 212","RNF212","N","N","N","N"
"SPON2","Spondin 2","SPON2",,,,
"CTBP1","C-terminal binding protein 1","CTBP1",,,,
"MAEA, EMP","Macrophage erythroblast attacher","MAEA",,,,
"UVSSA, KIAA1530, UVSS3","UV-stimulated scaffold protein A","UVSSA","Y","N","N","N"
"CRIPAK, FLJ3443","Cysteine-rich inhibitor of PAK1","CRIPAK",,,,
"SLBP, HBP","Histone stem-loop binding protein","SLBP",,,,
"TMEM129","Transmembrane protein 129","TMEM129",,,,
"TACC3","Transforming, acidic, coiled-coil-containing protein 3","TACC3",,,,
"FGFR3, ACH","Fibroblast growth factor receptor-3","FGFR3","Y","Y","N","N"
"LETM1","Leucine zipper/EF-hand-containing transmembrane protein 1","LETM1",,,,
"WHSC1","WHS candidate 1 gene","WHSC1",,,,
"WHSC2","WHS candidate 2 gene","NELFA",,,,
"C4orf48","chromosome 4 open reading frame 48","C4orf48",,,,
"NAT8L, CML3, NACED","N-acetyltransferase 8-like","NAT8L","N","N","N","N"
"POLN","Polymerase, DNA, nu","POLN",,,,
"HAUS3, DGT3, C4orf15","HAUS augimn-like complex, subunit 3","HAUS3",,,,
"ZFYVE28, LST2, KIAA1643","Zinc finger FYVE domain-containing protein 28","ZFYVE28",,,,
"RNF4","RING finger protein-4","RNF4",,,,
"TNIP2, ABIN2, FLIP1","TNFAIP3-interacting protein 2","TNIP2",,,,
"SH3BP2, CRPM","SH3-domain binding protein 2","SH3BP2","N","Y","N","N"
"ADD1","Adducin-1, alpha","ADD1","N","N","N","N"
"TETRAN, TPO1","Tetracycline transporter-like protein","MFSD10",,,,
"NOP14, NOL14, NOP14, RES425","Nop14, S. cerevisiae, homolog of","NOP14",,,,
"GRK4, GPRK2L, GPRK4","G protein-coupled receptor kinase 4","GRK4",,,,
"HTT, HD, IT15","Huntingtin","HTT","N","Y","N","N"
"RGS12","Regulator of G protein signaling 12","RGS12",,,,
"HGFAC, HGFA","Hepatocyte growth factor activator","HGFAC",,,,
"DOK7, C4orf25, CMS10","Downstream of tyrosine kinase 7","DOK7","Y","N","N","N"
"LRPAP1, A2MRAP, MYP23","Low density lipoprotein-related protein-associated protein 1 (alpha-2-macroglobulin receptor-associated protein 1)","LRPAP1","Y","N","N","N"
"ADRA2C, ADRA2L2","Adrenergic, alpha-2C-, receptor","ADRA2C","N","N","N","N"
"OTOP1","Otopetrin 1","OTOP1",,,,
"ZBTB49, ZNF509","Zinc finger- and BTB domain-containing protein 49","ZBTB49",,,,
"D4S234E, D4S234","D4S234E gene","",,,,
"MSX1, HOX7, HYD1, OFC5, STHAG1, ECTD3","Muscle segment homeo box, Drosophila, homolog of, 1 (homeo box 7)","MSX1","N","Y","N","N"
"CYTL1, C17","Cytokine-like protein 1","CYTL1",,,,
"LBN, EVC2, WAD","Limbin","EVC2","Y","Y","N","N"
"EVC","Ellis-van Creveld syndrome gene","EVC","Y","Y","N","N"
"CRMP1, DPYSL1, DRP1","Collapsin response mediator protein-1","CRMP1",,,,
"JAKMIP1, JAMIP1, MARLIN1","Janus kinase and microtubule-interacting protein 1","JAKMIP1",,,,
"WFS1, WFRS, WFS, DFNA6, DFNA14, DFNA38, WFSL, CTRCT41","Wolframin","WFS1","Y","Y","N","N"
"PPP2R2C, PR52","Protein phosphatase 2A, regulatory subunit B, gamma isoform","PPP2R2C",,,,
"MRFAP1, PAM14, PGR1`","MORF4 family- associated protein 1","MRFAP1",,,,
"S100P","S100 calcium-binding protein P","S100P",,,,
"BLOC1S4, BLOS4, CNO","Biogenesis of lysosome-related organelles complex 1, subunit 4","BLOC1S4",,,,
"TBC1D14, KIAA1322","TBC1 domain family, member 14","TBC1D14",,,,
"TADA2B, ADA2B","Transcriptional adaptor 2B","TADA2B",,,,
"GRPEL1, HMGE","GrpE, E. coli, homolog of","GRPEL1",,,,
"SORCS2, KIAA1329","SORCS receptor 2","SORCS2",,,,
"AFAP1, AFAP, AFAP110","Actin filament-associated protein 1","AFAP1",,,,
"ABLIM2, KIAA1808","Actin-binding LIM protein family, member 2","ABLIM2",,,,
"MIR95, MIRN95","Micro RNA 95","MIR95",,,,
"HTRA3, PRSP","HTRA serine peptidase 3","HTRA3",,,,
"ACOX3","Acyl-coenzyme A oxidase 3, pristanoyl","ACOX3",,,,
"METTL19","Methyltransferase-like 19","TRMT44",,,,
"GPR78","G protein-coupled receptor 78","GPR78",,,,
"CPZ","Carboxypeptidase Z","CPZ",,,,
"HMX1, H6","Homeo box (H6 family) 1","HMX1","Y","N","N","N"
"USP17L9P, USP17","Ubiquitin-specific protease 17-like family member 9, pseudogene","USP17L9P",,,,
"SLC2A9, GLUT9, UAQTL2","Solute carrier family 2 (facilitated glucose transporter), member 9","SLC2A9","Y","Y","N","N"
"DRD5, DRD1B, DRD1L2","Dopamine receptor D5","DRD5","N","Y","N","Y"
"WDR1","WD repeat-containing protein 1","WDR1",,,,
"CLNK, MIST","Cytokine-dependent hematopoietic cell linker","CLNK",,,,
"BMIQ7","Body mass index quantitative trait locus 7","","N","N","N","N"
"EPPS","Epilepsy, partial, with pericentral spikes","","N","N","N","N"
"HDL3, HLN2","Huntington disease-like 3","","Y","N","N","N"
"STQTL13","Stature quantitative trait locus 13","","N","N","N","N"
"HS3ST1, 3OST, 3OST1","Heparan sulfate (glucosamine)3-O-sulfotransferase 1","HS3ST1",,,,
"RAB28, CORD18","Ras-associated protein 28","RAB28","Y","N","N","N"
"NKX3-2, BAPX1, SMMD","Bagpipe homeo box, Drosophila, homolog of","NKX3-2","Y","N","N","N"
"BOD1L1, FAM44A","BOD1-like protein 1","BOD1L1",,,,
"CPEB2","Cytoplasmic polyadenylation element-binding protein 2","CPEB2",,,,
"CC2D2A, KIAA1345, MKS6","Coiled-coil and C2 domains-containing protein 2A","CC2D2A","Y","N","N","N"
"FBXL5, FBL5","F-box and leucine-rich repeat protein 5","FBXL5",,,,
"BST1","Bone marrow stromal cell antigen 1","BST1",,,,
"CD38","CD38 antigen (p45); ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase","CD38",,,,
"FGFBP1, FGFBP, HBP17","Fibroblast growth factor-binding protein 1","FGFBP1",,,,
"KSP37","Killer-specific secretory protein, 37kD","FGFBP2",,,,
"PROM1, PROML1, AC133, RP41, CORD12, CD133, MCDR2, STGD4","Prominin 1","PROM1","Y","Y","N","N"
"TAPT1, CMVFR, OCLSBG","Transmembrane anterior posterior transformation 1","TAPT1","Y","N","N","N"
"LDB2, CLIM1","LIM domain-binding factor-2","LDB2",,,,
"QDPR, DHPR","Quinoid dihydropteridine reductase","QDPR","Y","N","N","N"
"PEPS","Peptidase S","LAP3",,,,
"MED28, EG1, MAGICIN","Mediator complex subunit 28","MED28",,,,
"NCAPG, CAPG","Non-SMC condensin I complex subunit G","NCAPG",,,,
"LCORL, MLR1","Ligand-dependent nuclear receptor corepressor-like protein","LCORL",,,,
"SLIT2","Slit, Drosophila, homolog of, 2","SLIT2",,,,
"MIR218-1","Micro RNA 218-1","MIR218-1",,,,
"KCNIP4, KCHIP4","Kv channel-interacting protein 4","KCNIP4",,,,
"GPR125","G protein-coupled receptor 125","ADGRA3",,,,
"GBA3, CBGL1","Glucosidase, beta, acid 3","GBA3",,,,
"PPARGC1A, PPARGC1","Peroxisome proliferator-activated receptor-gamma, coactivator 1, alpha","PPARGC1A",,,,
"DHX15, DDX15, DBP1, HRH2","DEAH (Asp-Glu-Ala-His) box polypeptide 15","DHX15",,,,
"SOD3","Superoxide dismutase-3, extracellular","SOD3","N","N","N","N"
"LGI2, KIAA1916","Leucine-rich gene, glioma-inactivated, 2","LGI2",,,,
"SEPSECS, SLA, LP, PCH2D","O-phosphoserine tRNA-selenocysteine tRNA synthase","SEPSECS","Y","N","N","N"
"PI4K2B","Phosphatidylinositol 4-kinase, type 2, beta","PI4K2B",,,,
"ZCCHC4","Zinc finger CCHC domain-containing protein 4","ZCCHC4",,,,
"ANAPC4, APC4","Anaphase-promoting complex, subunit 4","ANAPC4",,,,
"SLC34A2","Solute carrier family 34 (sodium/phosphate cotransporter), member 2","SLC34A2","Y","N","N","N"
"RBPJ, RBPSUH, IGKJRB1, AOS3","Recombination signal-binding protein 1 for kappa J region","RBPJ","N","Y","N","N"
"CCKAR","Cholecystokinin A receptor","CCKAR",,,,
"STIM2, KIAA1482","Stromal interaction molecule 2","STIM2",,,,
"NPC1, NPCA1","Nasopharyngeal carcinoma 1","","N","N","N","N"
"PCDH7, BHPCDH","Protocadherin-7","PCDH7",,,,
"UCH1LAS","Ubiquitin carboxyl-terminal esterase L1, antisense","",,,,
"ARAP2, CENTD1, KIAA0580","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2","ARAP2",,,,
"DTHD1","Death domain-containing protein 1","DTHD1",,,,
"RELL1","Relt-like 1","RELL1",,,,
"PGM2","Phosphoglucomutase-2","PGM2",,,,
"TBC1D1, KIAA1108","TBC1 domain family, member 1","TBC1D1",,,,
"PTTG2","Pituitary tumor-transforming gene 2","PTTG2",,,,
"TLR1, TIL. LPRS5","Toll-like receptor-1","TLR1","N","N","N","N"
"TLR6","Toll-like receptor 6","TLR6",,,,
"MIR574, MIR574-3p","Micro RNA 574","MIR574",,,,
"KLHL5","Kelch-like 5","KLHL5",,,,
"WDR19, SRTD5, ATD5, NPHP13, CED4","WD repeat-containing protein 19","WDR19","Y","N","N","N"
"RFC1, RECC1","Replication factor C1, 145kD (activator 1, 145kD)","RFC1",,,,
"KLB, BKL","Klotho, beta","KLB",,,,
"RPL9","Ribosomal protein L9","RPL9",,,,
"LIAS, PDHLD, HGCLAS","Lipoic acid synthase","LIAS","Y","N","N","N"
"UGDH, UDPGDH","UDP-glucose dehydrogenase","UGDH",,,,
"HIP2","Huntingtin-interacting protein-2","UBE2K",,,,
"PDS5A, KIAA0648, SCC112","PDS5, regulator of cohesion maintenance, S. Cerevisiae, homolog of, A","PDS5A",,,,
"LOC344967","Acyl-CoA thioesterase 7-like","",,,,
